862,Toy Story,Led by Woody Andys toys live happily in his room until Andys birthday brings Buzz Lightyear onto the scene Afraid of losing his place in Andys heart Woody plots against Buzz But when circumstances separate Buzz and Woody from their owner the duo eventually learns to put aside their differences,1995-10-30T00:00:00.000+02:00,81.0,30000000,373554033,21.946943
8844,Jumanji,When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world they unwittingly invite Alan  an adult whos been trapped inside the game for 26 years  into their living room Alans only hope for freedom is to finish the game which proves risky as all three find themselves running from giant rhinoceroses evil monkeys and other terrifying creatures,1995-12-15T00:00:00.000+02:00,104.0,65000000,262797249,17.015539
15602,Grumpier Old Men,A family wedding reignites the ancient feud between nextdoor neighbors and fishing buddies John and Max Meanwhile a sultry Italian divorce opens a restaurant at the local bait shop alarming the locals who worry shell scare the fish away But shes less interested in seafood than she is in cooking up a hot time with Max,1995-12-22T00:00:00.000+02:00,101.0,0,0,11.7129
31357,Waiting to Exhale,Cheated on mistreated and stepped on the women are holding their breath waiting for the elusive good man to break a string of lessthanstellar lovers Friends and confidants Vannah Bernie Glo and Robin talk it all out determined to find a better way to breathe,1995-12-22T00:00:00.000+02:00,127.0,16000000,81452156,3.859495
11862,Father of the Bride Part II,Just when George Banks has recovered from his daughters wedding he receives the news that shes pregnant  and that Georges wife Nina is expecting too He was planning on selling their home but thats a plan that  like George  will have to change with the arrival of both a grandchild and a kid of his own,1995-02-10T00:00:00.000+02:00,106.0,0,76578911,8.387519000000001
949,Heat,Obsessive master thief Neil McCauley leads a topnotch crew on various insane heists throughout Los Angeles while a mentally unstable detective Vincent Hanna pursues him without rest Each man recognizes and respects the ability and the dedication of the other even though they are aware their catandmouse game may end in violence,1995-12-15T00:00:00.000+02:00,170.0,60000000,187436818,17.924927
11860,Sabrina,An ugly duckling having undergone a remarkable change still harbors feelings for her crush a carefree playboy but not before his businessfocused brother has something to say about it,1995-12-15T00:00:00.000+02:00,127.0,58000000,0,6.677277
45325,Tom and Huck,A mischievous young boy Tom Sawyer witnesses a murder by the deadly Injun Joe Tom becomes friends with Huckleberry Finn a boy with no future and no family Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder Tom and Huck go through several adventures trying to retrieve evidence,1995-12-22T00:00:00.000+02:00,97.0,0,0,2.5611610000000002
9091,Sudden Death,International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tensionpacked suspense thriller set against the backdrop of a Stanley Cup gameVan Damme portrays a father whose daughter is suddenly taken during a championship hockey game With the captors demanding a billion dollars by games end Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer,1995-12-22T00:00:00.000+02:00,106.0,35000000,64350171,5.23158
710,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain,1995-11-16T00:00:00.000+02:00,130.0,58000000,352194034,14.686035999999998
9087,The American President,Widowed US president Andrew Shepherd one of the worlds most powerful men can have anything he wants  and what he covets most is Sydney Ellen Wade a Washington lobbyist But Shepherds attempts at courting her spark wild rumors and decimate his approval ratings,1995-11-17T00:00:00.000+02:00,106.0,62000000,107879496,6.318445
12110,Dracula: Dead and Loving It,When a lawyer shows up at the vampires doorstep he falls prey to his charms and joins him in his search for fresh blood Enter Dr van Helsing who may be the only one able to vanquish the count,1995-12-22T00:00:00.000+02:00,88.0,0,0,5.430331
21032,Balto,An outcast halfwolf risks his life to prevent a deadly epidemic from ravaging Nome Alaska,1995-12-22T00:00:00.000+02:00,78.0,0,11348324,12.140733
10858,Nixon,An allstar cast powers this epic look at American President Richard M Nixon a man carrying the fate of the world on his shoulders while battling the selfdestructive demands within Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency,1995-12-22T00:00:00.000+02:00,192.0,44000000,13681765,5.092
1408,Cutthroat Island,Morgan Adams and her slave William Shaw are on a quest to recover the three portions of a treasure map Unfortunately the final portion is held by her murderous uncle Dawg Her crew is skeptical of her leadership abilities so she must complete her quest before they mutiny against her This is made yet more difficult by the efforts of the British crown to end her pirate raids,1995-12-22T00:00:00.000+02:00,119.0,98000000,10017322,7.284477000000001
524,Casino,The life of the gambling paradise  Las Vegas  and its dark mafia underbelly,1995-11-22T00:00:00.000+02:00,178.0,52000000,116112375,10.137389
4584,Sense and Sensibility,Rich Mr Dashwood dies leaving his second wife and her daughters poor by the rules of inheritance Two daughters are the titular opposites,1995-12-13T00:00:00.000+02:00,136.0,16500000,135000000,10.673167
5,Four Rooms,Its Ted the Bellhops first night on the joband the hotels very unusual guests are about to place him in some outrageous predicaments It seems that this evenings room service is serving up one unbelievable happening after another,1995-12-09T00:00:00.000+02:00,98.0,4000000,4300000,9.026586
9273,Ace Ventura: When Nature Calls,Summoned from an ashram in Tibet Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka the missing sacred animal of the friendly Wachati tribe He must accomplish this before the wedding of the Wachatis Princess to the prince of the warrior Wachootoos If Ace fails the result will be a vicious tribal war,1995-11-10T00:00:00.000+02:00,90.0,30000000,212385533,8.205447999999999
11517,Money Train,A vengeful New York transit cop decides to steal a trainload of subway fares his foster brother a fellow cop tries to protect him,1995-11-21T00:00:00.000+02:00,103.0,60000000,35431113,7.337905999999999
8012,Get Shorty,Chili Palmer is a Miami mobster who gets sent by his boss the psychopathic Bones Barboni to collect a bad debt from Harry Zimm a Hollywood producer who specializes in cheesy horror films When Chili meets Harrys leading lady the romantic sparks fly After pitching his own life story as a movie idea Chili learns that being a mobster and being a Hollywood producer really arent all that different,1995-10-20T00:00:00.000+02:00,105.0,30250000,115101622,12.669608
1710,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past,1995-10-27T00:00:00.000+02:00,124.0,0,0,10.701801
9691,Assassins,Assassin Robert Rath arrives at a funeral to kill a prominent mobster only to witness a rival hired gun complete the job for him  with grisly results Horrified by the murder of innocent bystanders Rath decides to take one last job and then return to civilian life But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself,1995-10-06T00:00:00.000+02:00,132.0,50000000,30303072,11.065939
12665,Powder,Harassed by classmates who wont accept his shocking appearance a shy young man known as Powder struggles to fit in But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things This phenomenon changes the lives of all those around him in ways they never could have imagined,1995-10-27T00:00:00.000+02:00,111.0,0,0,12.133094
451,Leaving Las Vegas,Ben Sanderson an alcoholic Hollywood screenwriter who lost everything because of his drinking arrives in Las Vegas to drink himself to death There he meets and forms an uneasy friendship and noninterference pact with prostitute Sera,1995-10-27T00:00:00.000+02:00,112.0,3600000,49800000,10.332025
